Centralized aggregator proto(cont).
==> Clients initialization..
===> Building data iterators..
Unique labelsin domainnet data: ['bird' 'feather' 'headphones' 'ice_cream' 'teapot' 'tiger' 'whale'
 'windmill' 'wine_glass' 'zebra']
Unique labelsin domainnet data: ['bird' 'feather' 'headphones' 'ice_cream' 'teapot' 'tiger' 'whale'
 'windmill' 'wine_glass' 'zebra']
===> Initializing clients..
Centralized aggregator used.
In aggregation,py. #clients per round : 2
Global Train Loss: 0.017 | Train Acc: 99.739% |GlobalTest Loss: 0.241 | Test Acc: 93.086% |
Global Train Loss: 0.017 | Train Acc: 99.739% |GlobalTest Loss: 0.238 | Test Acc: 93.229% |
Global Train Loss: 0.014 | Train Acc: 99.739% |GlobalTest Loss: 0.236 | Test Acc: 93.228% |
Global Train Loss: 0.014 | Train Acc: 99.345% |GlobalTest Loss: 0.221 | Test Acc: 93.567% |
Global Train Loss: 0.010 | Train Acc: 99.739% |GlobalTest Loss: 0.220 | Test Acc: 93.709% |
Global Train Loss: 0.010 | Train Acc: 99.739% |GlobalTest Loss: 0.220 | Test Acc: 93.709% |
Global Train Loss: 0.010 | Train Acc: 99.739% |GlobalTest Loss: 0.219 | Test Acc: 93.920% |
Global Train Loss: 0.011 | Train Acc: 99.739% |GlobalTest Loss: 0.217 | Test Acc: 93.922% |
Global Train Loss: 0.008 | Train Acc: 99.739% |GlobalTest Loss: 0.209 | Test Acc: 94.058% |
Global Train Loss: 0.013 | Train Acc: 99.739% |GlobalTest Loss: 0.208 | Test Acc: 94.131% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.204 | Test Acc: 94.123% |
Global Train Loss: 0.011 | Train Acc: 99.739% |GlobalTest Loss: 0.203 | Test Acc: 94.344% |
Global Train Loss: 0.007 | Train Acc: 100.000% |GlobalTest Loss: 0.197 | Test Acc: 94.496% |
Global Train Loss: 0.010 | Train Acc: 99.739% |GlobalTest Loss: 0.197 | Test Acc: 94.353% |
Global Train Loss: 0.007 | Train Acc: 100.000% |GlobalTest Loss: 0.197 | Test Acc: 94.282% |
Global Train Loss: 0.008 | Train Acc: 99.739% |GlobalTest Loss: 0.199 | Test Acc: 94.289% |
Global Train Loss: 0.008 | Train Acc: 99.739% |GlobalTest Loss: 0.199 | Test Acc: 94.289% |
Global Train Loss: 0.007 | Train Acc: 99.739% |GlobalTest Loss: 0.197 | Test Acc: 94.367% |
Global Train Loss: 0.007 | Train Acc: 99.739% |GlobalTest Loss: 0.202 | Test Acc: 94.574% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.205 | Test Acc: 94.278% |
Global Train Loss: 0.008 | Train Acc: 99.739% |GlobalTest Loss: 0.213 | Test Acc: 93.854% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.214 | Test Acc: 93.716% |
Global Train Loss: 0.008 | Train Acc: 99.739% |GlobalTest Loss: 0.214 | Test Acc: 93.648% |
Global Train Loss: 0.007 | Train Acc: 100.000% |GlobalTest Loss: 0.217 | Test Acc: 93.733% |
