Centralized aggregator proto(cont).
==> Clients initialization..
===> Building data iterators..
Unique labels in office data: ['back_pack' 'bike' 'calculator' 'headphones' 'keyboard' 'laptop_computer'
 'monitor' 'mouse' 'mug' 'projector']
Unique labels in office data: ['back_pack' 'bike' 'calculator' 'headphones' 'keyboard' 'laptop_computer'
 'monitor' 'mouse' 'mug' 'projector']
===> Initializing clients..
Centralized aggregator used.
In aggregation,py. #clients per round : 3
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.945 | Test Acc: 76.892% |
Global Train Loss: 0.002 | Train Acc: 100.000% |GlobalTest Loss: 0.936 | Test Acc: 76.972% |
Global Train Loss: 0.002 | Train Acc: 100.000% |GlobalTest Loss: 0.933 | Test Acc: 76.972% |
Global Train Loss: 0.002 | Train Acc: 100.000% |GlobalTest Loss: 0.931 | Test Acc: 76.178% |
Global Train Loss: 0.002 | Train Acc: 100.000% |GlobalTest Loss: 0.930 | Test Acc: 76.476% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.932 | Test Acc: 76.201% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.937 | Test Acc: 75.210% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.937 | Test Acc: 75.210% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.935 | Test Acc: 76.238% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.940 | Test Acc: 75.471% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.935 | Test Acc: 76.665% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.926 | Test Acc: 76.889% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.924 | Test Acc: 77.374% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.927 | Test Acc: 77.649% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.933 | Test Acc: 77.259% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.923 | Test Acc: 78.178% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.926 | Test Acc: 78.250% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.932 | Test Acc: 77.326% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.932 | Test Acc: 77.326% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.926 | Test Acc: 78.259% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.930 | Test Acc: 78.190% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.928 | Test Acc: 77.975% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.935 | Test Acc: 78.060% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.944 | Test Acc: 77.469% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.944 | Test Acc: 77.917% |
Global Train Loss: 0.001 | Train Acc: 100.000% |GlobalTest Loss: 0.954 | Test Acc: 77.150% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.948 | Test Acc: 77.432% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.952 | Test Acc: 77.171% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.958 | Test Acc: 77.150% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.958 | Test Acc: 77.150% |
Global Train Loss: 0.000 | Train Acc: 100.000% |GlobalTest Loss: 0.944 | Test Acc: 77.880% |
Mean accuracy for each client: tensor([0.6875, 0.8125, 0.8125, 0.6979, 0.8333])
Standard deviation for each client: tensor([nan, nan, nan, nan, nan])
Mean global test accuracy: 0.7788017392158508
Standard deviation for global test accuracy: nan
